,text,spam
1191,"Subject: i was on your xango web site  hello xango distributor ,  my name is jonathan roberts and i represent peak impact lead generation  systems . i visited your web site and saw that you are a distributor for xango  and i would like to introduce my business to you .  i am a lead expert for peak impact inc , and we specialize in lead generation  for home based business opportunities . we generate real time national , local  area code , and gender based leads . we also specialize in custom marketing  campaigns as well . in fact we have thousands of xango customers who are  buildinga lot at phenomenal growth rates using our leads .  truth be told there are alot of companies that claim to have responsive  leads . the fact of the matter is that the majority of the lead companies you see  do not generate their own leads . they are resellers that resell the same call  list up to six times or more . we at peak impact are lead generators and we  generate the very best leads on the internet guaranteed ! we use very specific  marketing campaigns to generate our leads which guarantees that they  arefresh and in real time not , from a call list . in fact we are one of the  very few companies out there that can provide a true real time local area code  lead .  also as a customer you will receive your very own exclusive back office with  your own login and password . no other lead company has this system . within your  back office you will be able to determine how many leads you want to receive  daily . you can also start lead co - ops with your downline , * and pause and unpause  orders . * ( this feature virtually guarantees that your leads will only be seconds  old . ) in addition we have many other features in the back office that makes us  the most user friendly lead generator on the internet . so if your ready to order  go towww . rocketleads . com . there  you will find pricing information and testimonials .  if you have any questions or concerns you can contact me by phone or  email .  your certified lead expert , jonathan robertswww . rocketleads . coml - 888 - 41 - leads ( 888 - 415 - 3237 ) ext . 703  ( 9 - 5 : 30 pm est . ) 1 - 800 - 663 - 0311 ( 24 hours ) jon @ peakimpact . com",1
1192,"Subject: get the best rate on a home loan !  if you would like to be removed  from future mailings , please reply with the word remove in the subject or call  888 - 418 - 2575 .  let lenders  compete for  your business !  click here  cash  back refinances  no equity 2 nd trust deeds  debt consolidation  no income verification  the most competitive interest rates !  fill in our quick pre - qualification form and you  will get competing loan offers ,  often  within minutes from up to three lenders !  click here  there is never any fee to consumers for using this service .  copyright ?ffffa 9 1999 , 2000 eworld marketing ,  inc .  888 - 418 - 2575  this is not a solicitation or offer to lend money .  eworld marketing is not a lender , broker or  other financial intermediary . we are a marketing company  that provides services to the mortgage industry . ",1
1193,"Subject: what is emc stock to cash ?  your client receives 90 % of their stock portfolio  up front and in cash  you invest this money in either an  annuity , life policy . . . or both  if the portfolio decreases in value ,  your clients ' investment remains intact  if the portfolio increases in value ,  your clients receive the upside appreciation  reduces capital gains and estate taxes  s 2 c  allows you to wrap your favorite fixed annuities around your clients '  existing stock portfolios , combining the safety features of tax - deferred  annuities with the high growth potential of the nation ' s leading  stock indices . annuities can also be used to fund fixed life insurance  policies .  call tim armstrong or e - mail us today !  please fill out the form below for more information  name :  e - mail :  phone :  city :  state :  we  don ' t want anybody to receive our mailing who does not wish to  receive them . this is a professional communication sent to insurance  professionals . to be removed from this mailing list , do not reply  to this message . instead , go here : http : / / www . insurancemail . net  legal notice ",1
1194,"Subject: are you listed in major search engines ?  submitting your website in search engines may increase  your online sales dramatically .  lf you invested time and money into your website , you  simply must submit your website  oniine otherwise it wiil be invisible virtualiy , which means efforts spent in vain .  if you want  people to know about your website and boost your revenues , the only way to do  that is to  make your site visibie in places  where peopie search for information , i . e .  submit your  website in multiple search enqines .  submit your website online  and watch visitors stream to your e - business .  best reqards ,  edweber _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
1195,"Subject: deal with your medication now  hello , i ' m carl mayo .  here ' s a question for you :  do you satisfied with your sexual performance ?  get over your erectile problams now  click now and get more power http : / / medsrealcheap . com / ? cid = vtxto 2  thank you  alicia honeycutt  phone : 211 - 144 - 2273  mobile : 188 - 881 - 1697  email : cylunj @ bonet . net  e , n ^ o - u _ g . h http : / / medsrealcheap . com / emover . php",1
1196,"Subject: ! gorgeous , custom websites - $ 399 complete ! ( 4156 cumg 9 - 855 yqkc 5 @ 17 )  beautiful custom  websites , $ 399 complete !  get a beautiful , 100 % custom web site ( or  yours redesigned ) for only $ 399 ! * we  have references coast to coastand will give you  plenty of sites to  view !  includes up to 7 pages ( you can add  more ) , java rollover buttons , feedback forms , more . it  will be constructed to your taste and  specifications , we do not use templates .  our sites are completely  custom . * must host with us @  $ 19 . 95 / mo ( 100 megs , 20 email accounts , control panel ,  front page , graphical statistics ,  more ) .  for sites to view , complete below or call our  message center at 321 - 726 - 2209 ( 24 hours ) . your call  will be returned promptly . note : if  you are using a web based email program ( such as yahoo ,  hotmail , etc . ) the form below will not  work . instead of  using the form , click  here ( you  must include your name , phone and state to get a  response , no exceptions .  name : phone  w / ac * : state : type project : new  site : redesign current  site ? : comments : your information is neither sold nor shared  with third parties under any  circumstance .  to be eliminated from  future mailings , click  here  [ 6560 icum 3 - 199 gyqk 9350 cvph 2 - 701 z @ 29 ]",1
1197,Subject: secretly record all internet activity on any computer . . . taf  find out who they are chatting / e - mailing with all those hours !  is your spouse cheating online ?  are your kids talking to dangerous people on instant messenger ?  find out now ! - with big brother instant software download .  click on this link now to see actual screenshots and to order !  to be excluded from future contacts please visit :  http : / / 213 . 139 . 76 . 69 / php / remove . php  bacalau,1
1198,"Subject: all graphics software available , cheap oem versions .  good morning ,  we we offer latest oem packages of all graphics and publishing software from corel , macromedia , adobe and others .  $ 80 adobe photoshop 8 . 0 / cs  $ 140 macromedia studio mx 2004  $ 120 adobe acrobat 7 . 0 professionai  $ 150 adobe premiere pro 1 . 5  $ 90 corel designer 10  $ 90 quickbooks 2004 professional edition  $ 75 adobe pagemaker 7 . 0  $ 70 xara x vl . 1  $ 75 adobe audition 1 . 5  $ 90 discreet 3 d studio max 7  $ 115 adobe golive cs  $ 135 adobe after effects 6 . 5 standard  $ 45 adobe premiere eiements  $ 125 corei painter lx  $ 80 adobe iliustrator cs  $ 80 adobe indesiqn cs  $ 240 adobe creative suite  $ 140 adobe framemaker 7 . 1  $ 50 ulead cool 3 d production studio 1 . 0 . 1  $ 90 aiias motion builder 6 professionai  $ 30 quicken 2004 premier home & biz  $ 30 adobe photoshop eiements 3 . 0  $ 110 adobe premiere pro 7 . 0  learn more . . .  sincerely ,  breanne ",1
1199,"Subject: 6 steps to a no fear portfolio - 50 % roi per trade  if you are averaging more than 50 % r . o . i . per trade . . .  if your annual returns are well over 300 % . . .  if you know how to profit in any market condition . . .  if you know how to convert losing trades into winning trades . . .  then you don ' t need our free online seminar .  however , if you want to thrive and not just survive in today ' s market , register for our free online seminar . to see if you qualify for this free online seminar , click here :  do you know how to insure your stocks from loss ?  you insure your home , why not insure your stock portfolio ? learn how smart investors take advantage of these easy strategies and techniques to insure their trades from loss . it ' s no secret , you just need to learn how to do it .  profit in any market condition  smart investors know how to profit when the market goes up , down or stays stagnant . now is your chance to learn the secrets of successful traders . in this powerful one hour online seminar you will learn how to choose the right stock at the right time , you ' ll learn brilliant strategies and tools for techncial analysis and research . now you can learn how our students prosper when stocks drop or take unexpected turns . in fact , our students average over 50 % roi per trade with annual returns of well over 300 % . it ' s your turn . simply register for our free online seminar to discover the secrets of smart traders .  register for our free online seminar and learn the following :  what is your market mindset ?  was the 2000 - 2002 market a disaster , a correction , or a market  opportunity ?  how do you profit from a volatile market ?  how do you use options to hedge risk ?  how do you insure your trades ?  how do you profit when a stock goes up , down or sideways ?  how do you adjust a trade that is going against you  directional trading is fine on a good day , but what do you know  about spread trading for any kind of day ?  how do you implement a no fear / no risk trading system ?  how do i get help as i go through this process ?  to see if you qualify for this free online seminar , click here :  meet the founder of the company - talk to the people who created the system  in this free live online seminar , you ' ll meet the founder of the  company , chat with current students and be able to ask questions and get answers . it ' s important to get your financial information from people who have their own money at risk . meet greg jensen , cofounder of spread trade systems .  results are really all that matters . see what our current students have to say :  i have also created a very elaborate spreadsheet where i am tracking my activities . i keep one page which tracks my trading history . this is only for trades which have completed from start to finish . to date , i have completed 19 trades for an overall profit of $ 15 , 925 . 00 , at an average 77 percent roi . i also have several other trades that are active , one of which has already doubled in value , at which time i sold half of the options in that trade and paid for the trade . it is now a ' free ' trade . i also have a worksheet which tracks my overall present position in all of my trades . this one ignores the cost of the underlying stocks , for instance , in my collar trades , but is rather a measure of cashflow . my current ytd total is over $ 33 k . . .  - bob hendricks ( july 2004 ) i have been trading since october of 2002 . i started with $ 14 , 000 and within 1 year my portfolio is worth over $ 180 , 000 . spread trade strategies are simple and easy to understand . i was about to give up on the stock market , but thanks to this program i have learned how to apply spread trade strategies successfully . it is great that these strategies can be used with very little money but can grow quickly without the fear of losing your entire investment .  - ruben p . ( 2003 , to date has a portfolio valued over 400 k )  keeping a close eye on netflix over the last couple of months i sold long term short puts out of the money when the stock indicated oversold conditions . as the stock bounced back and showed over bought signals i offloaded the puts and sold calls against my stock . last month netflix options alone made me over $ 3 , 000 . opening up the wealthbuilder a few weeks ago i saw a recommendation for a call calendar . at the time i wanted to enter a credit trade instead of a debit trade and entered a bear call based on technical indicators . all options expired worthless and i pocketed the entire credit . this month i placed some covered calls and bull puts on taser as it rocketed up . i closed all positions after 10 days with a $ 1500 profit . many companies proudly advertise big percentage gains . many times i ' ve asked those companies if those big gains hide big losses - all with the exception of sts was hiding big losing trades . my record this year is 14 out of the 18 stocks i ' ve traded have made money . it ' s not the 49 out of 50 that fasi and greg get but with each month i refine my system and keep closing the gap . the education sts provides is invaluable . without it my approach would have been that of a gambler . with it my approach is systematic and disciplined and consistently profitable .  - gareth ( july 2004 )  nofearinvesting 150 clovis ave . , ste . 101 clovis , ca 93612 this e - mail message is an advertisement and / or solicitation . ",1
1200,"Subject: unbelievable new homes for the usa !  it ' s a beautiful day today  homeowner  you have been pre - approved for a $ 431 , 221 home loan at a 3 . 29 fixed rate .  this offer is being extended to you unconditionally and your credit is in no way a factor .  to take advantage of this limited time opportunity  all we ask is that you visit our website and complete  the 1 minute post approval form  have a good day ,  shemika kelly",1
1201,"Subject: best mortgage rate vjd  with regards to  want to refinance ?  fill out this quick form and immediately have mortgage  companies compete for you business .  you will be offered the , absolute , best refinance rates  available !  your credit doesn ' t matter , don ' t even worry about past  credit problems , we can refinance anyone !  let us put our expertise to work for you !  http : / / 66 . 230 . 217 . 86  or site 2  http : / / agileconcepts . com / 74205 /  erase  http : / / 66 . 230 . 217 . 86 / optout . htm",1
1202,"Subject: localized software , all languages available .  hello , we would like to offer localized software versions ( german , french , spanish , uk , and many others ) .  aii iisted software is avaiiable for immediate download !  no need to wait 2 - 3 week for cd delivery !  just few exampies :  - norton internet security pro 2005 - $ 29 . 95  - windows xp professional with sp 2 full version - $ 59 . 95  - corei draw graphics suite 12 - $ 49 . 95  - dreamweaver mx 2004 ( homesite 5 . 5 inciuding ) - $ 39 . 95  - macromedia studio mx 2004 - $ 119 . 95  just browse our site and find any software you need in your native ianquage !  best regards ,  chelsea ",1
1203,"Subject: national charity suffering since 9 / 11  dear friend ,  "" serving the tribes while sharing the culture "" . . . has been the mission for the american indian heritage foundation for the past 29 years .  for many years , aihf has met the emergency requests from hundreds of tribes with food , clothing , medical supplies , emergency grants and more . our student eagle awards program inspires indian youth to aspire and our scholarship program for young indian women has meant more than just financial aid to hundrends of beautiful indian women .  this worthwhile endeavor is entirely funded by very generous people like you who want to help and make a difference . we need your help now more than ever .  click here to learn more . . . maybe you can help .  "" may you always walk in beauty ""  pale moon  we appologize if this message has been an inconvenience . you may comment to our webmaster .",1
1204,"Subject: better sex ! better relationship !  a sex revival with low - priced viagra .  summertime , and the living is easy .  judgement of beauty can err , what with the wine and the dark .  within every adversity is an equal or greater opportunity .",1
1205,"Subject: earn high commissions for booking online  northstar  travel media , llc and  mailpound . com , a division of smart travel technologies , inc .  provide travel professionals with information , services and marketing  solutions  attention :  travel  agents , outside agents , independent agents , corporate travel agents :  ( click for more  information )  mailpound is a trademark of smart travel  technologies , inc .  if you do not want to receive these messages in  the future , please click  here .  please  do not reply to this email . for questions or comments on this offer ,  please contact the supplier .  for all other inquiries , please email us at support @ mailpound . com .  http : / / xent . com / mailman / listinfo / fork",1
1206,"Subject: all graphics software available , cheap oem versions .  good morning ,  we we offer latest oem packages of all graphics and publishinq software from corel , macromedia , adobe and others .  $ 80 adobe photoshop 8 . 0 / cs  $ 140 macromedia studio mx 2004  $ 120 adobe acrobat 7 . 0 professionai  $ 150 adobe premiere pro 1 . 5  $ 90 corei desiqner 10  $ 90 quickbooks 2004 professional edition  $ 75 adobe pagemaker 7 . 0  $ 70 xara x vl . 1  $ 75 adobe audition 1 . 5  $ 90 discreet 3 d studio max 7  $ 115 adobe golive cs  $ 135 adobe after effects 6 . 5 standard  $ 45 adobe premiere elements  $ 125 corel painter lx  $ 80 adobe illustrator cs  $ 80 adobe lndesiqn cs  $ 240 adobe creative suite  $ 140 adobe framemaker 7 . 1  $ 50 ulead cooi 3 d production studio 1 . 0 . 1  $ 90 aiias motion builder 6 professional  $ 30 quicken 2004 premier home & biz  $ 30 adobe photoshop elements 3 . 0  $ 110 adobe premiere pro 7 . 0  learn more . . .  sincereiy ,  beatrice ",1
1207,"Subject: business partnership ( urgent / confidential )  mr . vincent nnaji ,  standard trust bank ltd ,  lagos , nigeria .  dear sir ,  i am mr . vincent nnaji , bank manager of standard trust bank , lagos , nigeria . i have urgent and very confidential business proposition for you .  on january 6 , 1998 a foreign oil consultant foreign contractor with the nigerian national petroleum corporation mr . james herbert made a numbered time fixed deposit for twelve calendar months valued at us $ 20 m ( twenty million united states dollars ) in my branch .  upon maturity i sent a routine notification to his forwarding address but got no reply . after a month we sent a reminder and finally we discovered from his contract employers the nigerian national petroleum corporation that mr . james herbert died from an automobile accident .  on further investigation , i found out that he died without making a will and all attempts to trace his next of kin was fruitless . i therefore made further investigation and discovered that mr . james herbert did not declare any next of kin or relations in all his official documents including his bank deposit paperwork in my bank . this sum of us $ 20 m has carefully been moved out of my bank to a security company for safe - keeping . no one will ever come forward to claim it .  according to nigerian law at the expiration of 5 years the money will revert to the ownership of the nigerian government if nobody applies to claim the fund . consequently my proposal is that i will like you as a foreigner to stand in as the owner of the money i deposited it in a security company in two trunk boxes though the security company does not know the contents of the boxes as i tagged them to be photographic materials for export i am writing you because i as a public servant i cannot operate a foreign account or have an account that is more than $ 1 m .  i want to present you as the owner of the boxes in the security company so you can be able to claim them with the help of my attorney . all these are to make sure that the fruits of this old man ' s labour will not get into the hands of some corrupt government officials .  this is simple . i will like you to provide immediately your full names and address so that the attorney will prepare the necessary documents which will put you in place as the owner of the boxes . the money will be shared in the ratio of 70 % for me and 25 % for you and 5 % will take care of all expenses .  there is no risk at all as all the paperwork for this transaction will be done by the attorney and this will guarantee the successful execution of this transaction . if you are interested , please reply immediately via my private email address .  upon your response i shall then provide you with more details and relevant documents that will help you understand the transaction . please observe with utmost confidentiality and be rest assured that this transaction would be most profitable for both of us because i shall require your assistance to invest my share in your country .  awaiting your urgent reply via my private email to indicate your interest .  thanks and regards ,  mr . vincent nnaji .",1
1208,"Subject: 100 % free hardcore megasite ! !  100 % free porn !  what more can you ask for ?  click here  removal instructions : we strive to never send unsolicited mail .  however , if you ' d rather not receive future e - mails from us ,  click here to send email and add the word remove in the subject line .  please allow 48 hours for processing .  [ ( ^ ( pol : kj ) _ 8 j 7 bjk 9 ^ "" : } h & * tgobk 5 nkiys 5 ]  - - - -  this sf . net email is sponsored by : jabber - the world ' s fastest growing  real - time communications platform ! don ' t just im . build it in !  http : / / www . jabber . com / osdn / xim  spamassassin - sightings mailing list ",1
1209,"Subject: refinance or mortgagefkzqeljhyno  what a loan from lenderscan do for you : rates have never been lower ! ! lowest rates - best possible termsdebt this . . . your $ 8 , 750 $ 175 visa $ 10 , 500 $ 210 discover $ 5 , 250 $ 105 auto loan $ 20 , 500 $ 515 total $ 45 , 000 $ 1 , 005 into this ! ! ! $ 45 , 000 $ 390 . 06 annual savings : $ 7 , 379 . 005 - year savings : $ 36 , 896 . 00 opay off high interest credit cardsoreduce monthly paymentshome improvementopaint , landscape , carpet , add rooms / pool / spaoyou may be eligible for a tax deductionhome refinancingoreduce your monthly payments and get cash back ! oget up to 125 % of your homes value ( ratios vary by  state ) . we have hundreds of loan programs , including : purchase loansrefinancedebt consolidationhome improvementsecond sno income verificationno matter which of our 50 states you live in , welikely have a program that could meet your needs ! please  click hereone of our experienced loan officers will contact you  for more details concerning your needs . want to be purged ? just go hereand we will promptly extract you . copyright dti inc .",1
1210,"Subject: best prizes of online cigarettes here  a fair is impartation pianist but resumption what indisposition ,  sickle not ayers .  when growl boom , napoleonic snuffer is not ketchup  colza but a canst coalesce andersen arises bertha  cohort in chemic , grammar and dixon . would you  ceruleancrank ?  no , maggot emitted teresa is bison a behave and  teardrop noontime .  if not , here - http : / / cmzcqj 4 euuivo 02 . 123 cigs 4 lessl . com / rm ",1
1211,"Subject: you can gain from lowest interest rates in 30 years  certain chances only come around every few  decades or so . this is one . why you ask ?  because home loan rates are headed up .  have you locked in the lowest rate , in almost  thirty years , for your present home loan ?  rates haven ' t been this low in a long time . they  may well never be this low again . this is your  chance to secure a better future . you could  literally save enough money to buy that new car  you ' ve been wanting or to take that special  vacation . why wouldn ' t you jump at this chance ?  there ' s no need for you to continue to pay more  than is necessary or to continue not having the  things your family wants and needs .  we ' re a nationwide mortgage lender . we ' re not a  broker . and we can guarantee you the best rate  and the best deal possible for you . but only  if you take action today .  there is no fee or charge of any kind to see if  we can help you get more of the things you want ,  desire and need from your current pay . you can  easily determine if we can help you in just a few  short minutes . we only provide information in  terms so simple that anyone can understand them .  you won ' t need to be a lawyer to see the savings ,  this we promise .  we offer both first and second home loans and we  will be happy to show you why your current loan  is the best for you . or why you should replace  it . and once again , there ' s no risk for you . none  at all .  take a couple of minutes and use the link below  that works for you . for a couple of minutes of  your time , we can show you how to get more for  yourself and your loved ones . don ' t lose this  chance . please take action now .  click _ here  sincerely ,  james w . minick  mortbanc , inc .  your favorite stores , helpful shopping tools and great gift ideas . experience the convenience of buying online with shop @ netscape ! http : / / shopnow . netscape . com /  get your own free , personal netscape mail account today at http : / / webmail . netscape . com /",1
1212,"Subject: your june stats  it ' s absolutely true . you will get emails like  this very soon .  quickly , send me an email and you will  get real com . miss . ion emails with this  subject line and a big , big comm _ ission  pa . yments from all the bus _ inesses you  pro _ mote .  to pro . ve it , for a limit / ed per _ iod i will  give . you 10 sign _ ups ( that will p . a . y . to  j . o . i . n . your bus . in . ess ) and i will not ask  you for a sin . gle cent / penny to get you  star - ted . use these to gen _ erate an  in . stant in . com _ e .  only the first 10 replies get 10 paid _  signups .  then sitback & watch the _ sign _ ups  join _ you inst _ antly in their droves and  without you having to do much _ at all .  at the end of march you will get  comm _ ission state _ ments showing that  you have ear . ned tens _ of thou _ s _ ands  of doll _ ars from your existing bus . . iness .  oppo . rtun . it . ies .  miss . this and def _ in . it . ely missout on  the ea - sie . st and fas . test mo . ney that  you will ever ma . ke from your bu . sin _ ess  opp . or - tuni . ty  email me on earnbigmoney @ tiscali . co . uk  please put "" yes "" in the subject line .  good luck  gavin  if i have breached your privacy please  delete yourself off my list by sending  an email to earnbigmoney @ tiscali . co . uk  with "" d "" in the subject line .",1
1213,"Subject: [ ilug ] wilson kamela  attn : sir / madan  strictly confidential .  i am pleased to introduce myself to you . my name is mr . wilson kamela a native of south africa and a senior employee of mines and natural resources department currently on a trainning course in holland for few months .  i am writing this letter to request your assistance in order to redeem an investment with the south african mining corporation . the said investment , now valued at ( $ 15 . 5 million dollars ) fifteen million , five hundred thousand dollars only was purchased by lucio harper and contracted out to the south african mining corporation in 1977 now recognised as mines and natural resources department . this redeemable investment interest , has now matured since march last year .  since march last year , several attempts have been made to contact lucio harper without success and there is no way to contact any of his close relatives in whose favour the investment cash value can be paid .  since we have access to all lucio harper ' s information , we can claim this money with the help of my partners with the south african mines and natural resources department . all we have to do is to file claim using you as lucio harper ' s relative .  i will like to assure you that there is absolutely nothing to worry about , because it is perfectly safe with no risk involved . please ensure to keep this matter strictly confidential . my partner will file a claim for this money on your behalf from the southafrican mining corporation . when the claim is approved , you as the beneficiary  will be paid ( 25 % ) of the total amouth .  since this money can be paid directly into any bank account of your choice , you have responsibility to ensure that my partner and ireceive ( 70 % ) of the total amouth . while the balance ( 5 % ) will be set aside for any unforseen expenses in the cause of transfering this money .  i will appreciate if you can give your assurance and guarantee that our share will be well secured . please for the sake of confidentiality , reach me on my e - mail address : wilsonkamela 3000 @ mail . com . please let me know if this proposal is acceptable to you . kindly reach me immediately with any of the stated contact addresses so that better clearifications  relating to the transaction will be explained to you .  truly yours ,  wilson kamela .  - -  irish linux users ' group : ilug @ linux . ie  http : / / www . linux . ie / mailman / listinfo / ilug for ( un ) subscription information .  list maintainer : listmaster @ linux . ie",1
1214,Subject: some of the largest membership sites for free  get porn for free  free password to :  18 asian  huge tits xxx  free amateur hotties  free teen hotties  free and kinky  free farm sluts  free n ' famous  adults only  diligent ,1
1215,"Subject: mail delivery failed : returning message to sender  this message was created automatically by mail delivery software .  a message that you sent could not be delivered to one or more of its  recipients . this is a permanent error . the following address ( es ) failed :  stcelebrate 2002 @ aol . com  ( ultimately generated from info @ something - to - celebrate . com )  smtp error from remote mailer after end of data :  host mailin - 01 . mx . aol . com [ 64 . 12 . 137 . 89 ] : 554 - :  ( hvu : bl ) http : / / postmaster . info . aol . com / errors / 554 hvubl . html  554 transaction failed  - - - - - - this is a copy of the message , including all the headers . - - - - - -  return - path :  received : from [ 218 . 23 . 38 . 202 ] ( helo = mailwisconsin . com )  by discostu . angelsonoccasion . com with smtp ( exim 4 . 43 )  id ldupmn - 0001 st - jh  for info @ something - to - celebrate . com ; tue , 19 jul 2005 06 : 57 : 18 - 0400  received : from 205 . 214 . 42 . 66  ( squirrelmail authenticated user projecthoneypot @ projecthoneypot . org ) ;  by mailwisconsin . com with http id j 87 gzo 24817172 ;  tue , 19 jul 2005 10 : 57 : 46 + 0000  message - id :  date : tue , 19 jul 2005 10 : 57 : 46 + 0000  subject : just to her . . .  from : "" barry castillo ""  to : info @ something - to - celebrate . com  user - agent : squirrelmail / 1 . 4 . 3 a  x - mailer : squirrelmail / 1 . 4 . 3 a  mime - version : 1 . 0  content - type : text / html ; charset = iso - 8859 - 1  content - transfer - encoding : 8 bit  x - priority : 3 ( normal )  importance : normal  soft viagra at $ 1 . 62 per dose  ready to boost your sex life ? positive ?  time to do it right now !  order soft viagra at incredibly low prices  starting at $ 1 . 99 per dose ! unbeiivable !",1
1216,"Subject: rreally works very good  hello , welcome to pharmonli thyroid ne s newtonian hop  - one of the leading oniine campaign pharmaceutical shops  malnutrition v  dimply g  a unfold l  l withdraw l  unarmed la  r spatio a cupboard cl  i decision sv osierbed a  classic um  andmanyother .  - save o operatic ver 50 %  - worldwide sh retaliate lpplng  - total conf impromptu identiaiity  - over 5 miiiion cust unworn omers in 130 countries  puffin have a nice day !",1
1217,"Subject: glad i madde the move  hello , welcome to phar coolie monline sho disrespectful p  - one yellowish of the leading oniine pharmaceutical shops  labiate v  corrective g  a prostration l  l opposed l  l molecular a  encephalitis ra maillot cl  i stockjobbery sv mythicize a  analects um  andmanyother .  - s welding ave over 50 %  - worldwide sh resistance lpplng  - total confidentiaii purchasingpower ty  - over 5 miiiion customers in 130 countri canonization es  have a nice day calumniatory !",1
1218,"Subject: a quick , cheap and convenient way to buy viagra  we are the only online pharmacy offering 100 % satisfaction money back guarantee ?  by perseverance the snail reached the ark .  i think we agree , the past is over .  true philosophy invents nothing ; it merely establishes and describes what is .",1
1219,Subject: do you smoke ? qrklx  lookln 4 affordabowl cigarettez ? come chick it out here !  is mclaughlin that skylarkchamfer or citron maybe fully  minstrelsy ?  i dill don ' t v continuum not decoy a binghamton  spring .  if upsetting crunch then reimove : ,1
1220,"Subject: logo , corporate identity and website design  corporate image can say a lot of things about your  company . contemporary rhythm of life is too dynamic . sometimes it takes oniy  several seconds for  your company to be remembered or to be lost among competitors .  get your loqo , business stationery or website done  riqht now !  fast turnaround : you will see severai logo variants  in three business days .  satisfaction guaranteed : we provide unlimited  amount of changes ; you can be sure : it wiii meet your needs and fit your  business .  fiexibie discounts : ioqo improvement , additionai  formats , bulk orders , special packages .  creative design for  competitive price : have a look at it right now !",1
1221,"Subject: well , trry it  hello , welcome to pharmon wallow line s dilative hop  - on extensible e of the leading oniine pharmaceutical shops  greasy v  marauder g  unabridged al  chromolithograph ll  acknowledgement la  r repealer ac octane l  i extrusion s quaint va  u pollination m  andmanyother .  - s nucleate ave over 50 %  - worldwide shlp rocket plng  - total confiden screechy tiaiity  - over 5 miiiion permafrost customers in 130 countries  have a backfiller nice day !",1
1222,"Subject: luv our rolexes for the same fea - tures and lovvprices .  they are definitely the finest from rolexes , cartiers , bvlgaries ,  frankmullers , harry winstons , breguets , jaeger - lecoultre , brietilings ,  tagheuers and tudors . first of all , their overall lo 0 ks are perfect .  secondly , vievv their details . every small logo and serial number shown  speak for their elegance .  you will also flnd out how ccheap our lovely goodss are . you might even  vvant 2 or 3 vvatches for your collections . waterproof , stainlessteelbody ,  sapphire crystal surface and other lovely featuress bring you sheer feeling  for luxury .  our vvatches are reallydurable cause the manufacturers use the bestquality  substances like durable stainlesssteel and anti - scratching surface .  the vvatches sold at our cybersstore have energy - modules like  battery & quartz , anto - operating & winding , winding and non - winding ones .  the classics have hack mechanism with stainlesssteelback . we have them .  their when you promised to go . ""  "" no , i did not promise . i only smirked and bowed , and said the word  late confidences wer e really too wicked for their pea  ` bite your tongue ! ' said princess miaghkaia suddenly . ` karenina is a  splendid woman . i don ' t like her husband - but her i like very much . ' to  the window to recollect himself , and feel how he ought to behave .  ce of mind , some weath 1 erbeaten ragged old rooks ' - nests , 7 burdening  their hi gher branch",1
1223,"Subject: we are need you tjuz s cif  mercy advertising group presents for your attention :  they need your help !  the act of terrorism in london on july , 7 2005 took the lives of many  innocent people . it was directed not against one nation , but against all  the nations .  its up to you to help the injured and the families who lost their  relatives in this tragedy .  to help click here  if you dont want to receive our advertising letters any  more , click here ",1
1224,"Subject: healthy reproductive life  our customer speak volumes about our spur m product  "" i just wanted to write and thank you for spur - m .  i suffered from poor sperm count and motility . i found  your site and ordered spur - m fertility blend for men .  i have wondered for years what caused low semen and sperm  count , and how i could improve my fertility and help my wife  conceive . spur - m seems to have done just that ! thank you  for your support . ""  andrew h . , london , uk  "" spur - m really does help improve fertility and effectiveness  of sperm and semen motility . i used it for the past few months ,  and not only does it work - i also feel better to . i have  more energy . this is an excellent counter to low sperm count  and motility . i ' ll be buying more ! ! ! ""  franz k . , bonn , germany  http : / / rosemary . chorally . com / spur / ? sheep  for removing , pls go here  http : / / mcclure . chorally . com / rm . php",1
1225,"Subject: important announcement : your application was approved  we tried to contact you last week about refinancing your home at a lower rate .  i would like to inform you know that you have been pre - approved .  here are the results :  * account id : [ 987 - 528 ]  * negotiable amount : $ 153 , 367 to $ 690 , 043  * rate : 3 . 70 % - 5 . 68 %  please fill out this quick form and we will have a broker contact you as soon as possible .  regards ,  shannon serrano  senior account manager  lyell national lenders , llc .  database deletion :  www . lend - bloxz . com / r . php ",1
1226,"Subject: save your money by getting an oem software !  need in software for your pc ? just visit our site , we might have what you need . . .  best regards ,  alvaro ",1
1227,"Subject: you will receive the best prices available on viagra online  if your sex life is good . . . then make it fantastic !  the covers of this book are too far apart .  real freedom lies in wildness , not in civilization .  with the gift of listening comes the gift of healing .",1
